ms,features,map,requested_nm,commanded_nm,limit_nm,fuel_multiplier,ethanol_filtered,dtcs,limp,launch,shift
6440,15,2,341.66666,126.00000,350.00000,1.49777,84.99194,0,0,0,0
6460,15,2,341.66666,128.00000,350.00000,1.49778,84.99225,0,0,0,0
6480,15,2,341.66666,130.00000,350.00000,1.49778,84.99255,0,0,0,0
6500,15,2,245.00000,132.00000,350.00000,1.49778,84.99284,0,0,0,0
6520,15,2,245.00000,134.00000,350.00000,1.49778,84.99311,0,0,0,0
6540,15,2,245.00000,136.00000,350.00000,1.49779,84.99338,0,0,0,0
6560,15,2,245.00000,138.00000,350.00000,1.49779,84.99363,0,0,0,0
6580,15,2,245.00000,140.00000,350.00000,1.49779,84.99387,0,0,0,0
6600,15,2,245.00000,0.00000,0.00000,1.49779,84.99411,4,0,0,0
6620,15,2,245.00000,0.00000,0.00000,1.49779,84.99434,4,0,0,0
6640,15,2,245.00000,0.00000,0.00000,1.49779,84.99456,4,0,0,0
6660,15,2,245.00000,0.00000,0.00000,1.49780,84.99477,4,0,0,0
6680,15,2,245.00000,0.00000,0.00000,1.49780,84.99496,4,0,0,0
6700,15,2,245.00000,0.00000,0.00000,1.49780,84.99516,4,0,0,0
6720,15,2,245.00000,0.00000,0.00000,1.49780,84.99534,4,0,0,0
6740,15,2,245.00000,0.00000,0.00000,1.49780,84.99551,4,0,0,0
6760,15,2,245.00000,0.00000,0.00000,1.49780,84.99569,4,0,0,0
6780,15,2,245.00000,0.00000,0.00000,1.49781,84.99586,4,0,0,0
6800,15,2,245.00000,0.00000,0.00000,1.49781,84.99602,4,0,0,0
6820,15,2,245.00000,0.00000,0.00000,1.49781,84.99617,4,0,0,0
6840,15,2,245.00000,0.00000,0.00000,1.49781,84.99632,4,0,0,0
